Time [s],Voltage [V],Current [A],Cell Temperature [K],Separator Temperature [K]
229.0,4.045946369074811,2.0,298.15,298.15
230.0,4.045868646831723,2.0,298.15,298.15
231.0,4.045791526700815,2.0,298.15,298.15
232.0,4.045715004245809,2.0,298.15,298.15
233.0,4.045639075065412,2.0,298.15,298.15
234.0,4.045563734792666,2.0,298.15,298.15
235.0,4.045488979094614,2.0,298.15,298.15
236.0,4.045414803671845,2.0,298.15,298.15
237.0,4.045341204257841,2.0,298.15,298.15
238.0,4.045268176618728,2.0,298.15,298.15
239.0,4.045195716552678,2.0,298.15,298.15
240.0,4.045123819889606,2.0,298.15,298.15
241.0,4.045052482490616,2.0,298.15,298.15
242.0,4.04498170024761,2.0,298.15,298.15
243.0,4.044911469082963,2.0,298.15,298.15
244.0,4.044841784948985,2.0,298.15,298.15
245.0,4.044772643827629,2.0,298.15,298.15
246.0,4.044704041730007,2.0,298.15,298.15
247.0,4.044635974696109,2.0,298.15,298.15
248.0,4.0445684387943475,2.0,298.15,298.15
249.0,4.044501430121194,2.0,298.15,298.15
250.0,4.0444349448008765,2.0,298.15,298.15
251.0,4.044368978984989,2.0,298.15,298.15
252.0,4.044303528852104,2.0,298.15,298.15
253.0,4.04423859060749,2.0,298.15,298.15
254.0,4.044174160482722,2.0,298.15,298.15
255.0,4.044110234735451,2.0,298.15,298.15
256.0,4.044046809648933,2.0,298.15,298.15
257.0,4.043983881531826,2.0,298.15,298.15
258.0,4.04392144671783,2.0,298.15,298.15
259.0,4.043859501565411,2.0,298.15,298.15
260.0,4.043798042457446,2.0,298.15,298.15
261.0,4.0437370658010305,2.0,298.15,298.15
262.0,4.043676568027029,2.0,298.15,298.15
263.0,4.043616545589943,2.0,298.15,298.15
264.0,4.043556994967552,2.0,298.15,298.15
265.0,4.043497912660676,2.0,298.15,298.15
266.0,4.043439295192838,2.0,298.15,298.15
267.0,4.04338113911011,2.0,298.15,298.15
268.0,4.043323440980721,2.0,298.15,298.15
269.0,4.043266197394933,2.0,298.15,298.15
270.0,4.043209404964687,2.0,298.15,298.15
271.0,4.043153060323429,2.0,298.15,298.15
272.0,4.043097160125756,2.0,298.15,298.15
273.0,4.043041701047366,2.0,298.15,298.15
274.0,4.0429866797846055,2.0,298.15,298.15
275.0,4.042932093054416,2.0,298.15,298.15
276.0,4.042877937594008,2.0,298.15,298.15
277.0,4.042824210160658,2.0,298.15,298.15
278.0,4.042770907531523,2.0,298.15,298.15
279.0,4.042718026503382,2.0,298.15,298.15
280.0,4.042665563892432,2.0,298.15,298.15
281.0,4.042613516534133,2.0,298.15,298.15
282.0,4.042561881282925,2.0,298.15,298.15
283.0,4.042510655012037,2.0,298.15,298.15
284.0,4.04245983461339,2.0,298.15,298.15
285.0,4.042409416997251,2.0,298.15,298.15
286.0,4.042359399092157,2.0,298.15,298.15
287.0,4.042309777844686,2.0,298.15,298.15
288.0,4.042260550219258,2.0,298.15,298.15
289.0,4.042211713197971,2.0,298.15,298.15
290.0,4.042163263780442,2.0,298.15,298.15
291.0,4.042115198983592,2.0,298.15,298.15
292.0,4.042067515841444,2.0,298.15,298.15
293.0,4.0420202114050685,2.0,298.15,298.15
294.0,4.041973282742313,2.0,298.15,298.15
295.0,4.041926726937652,2.0,298.15,298.15
296.0,4.041880541092079,2.0,298.15,298.15
297.0,4.041834722322838,2.0,298.15,298.15
298.0,4.041789267763404,2.0,298.15,298.15
299.0,4.041744174563245,2.0,298.15,298.15
300.0,4.0416994398876716,2.0,298.15,298.15
301.0,4.041655060917673,2.0,298.15,298.15
302.0,4.041611034849859,2.0,298.15,298.15
303.0,4.041567358896192,2.0,298.15,298.15
304.0,4.041524030283943,2.0,298.15,298.15
305.0,4.041481046255507,2.0,298.15,298.15
306.0,4.041438404068238,2.0,298.15,298.15
307.0,4.041396100994357,2.0,298.15,298.15
308.0,4.041354134320816,2.0,298.15,298.15
309.0,4.041312501349136,2.0,298.15,298.15
310.0,4.0412711993953305,2.0,298.15,298.15
311.0,4.041230225789683,2.0,298.15,298.15
312.0,4.041189577876704,2.0,298.15,298.15
313.0,4.041149253015005,2.0,298.15,298.15
314.0,4.041109248577123,2.0,298.15,298.15
315.0,4.041069561949401,2.0,298.15,298.15
316.0,4.041030190531988,2.0,298.15,298.15
317.0,4.040991131738492,2.0,298.15,298.15
318.0,4.040952382996136,2.0,298.15,298.15
319.0,4.040913941745438,2.0,298.15,298.15
320.0,4.04087580544019,2.0,298.15,298.15
321.0,4.040837971547301,2.0,298.15,298.15
322.0,4.040800437546776,2.0,298.15,298.15
323.0,4.040763200931483,2.0,298.15,298.15
324.0,4.040726259207142,2.0,298.15,298.15
325.0,4.040689609892201,2.0,298.15,298.15
326.0,4.040653250517729,2.0,298.15,298.15
327.0,4.0406171786272935,2.0,298.15,298.15
328.0,4.040581391776878,2.0,298.15,298.15
329.0,4.040545887534762,2.0,298.15,298.15
330.0,4.0405106634815455,2.0,298.15,298.15
331.0,4.040475717209825,2.0,298.15,298.15
332.0,4.0404410463242755,2.0,298.15,298.15
333.0,4.040406648441575,2.0,298.15,298.15
334.0,4.0403725211901556,2.0,298.15,298.15
335.0,4.040338662210273,2.0,298.15,298.15
336.0,4.040305069153807,2.0,298.15,298.15
337.0,4.040271739684262,2.0,298.15,298.15
